manswer,sanswer,score
"constructor provided, compil provid one default. constructor defin class, compil creat default constructor.","class explicitli includ constructor provide, compil creat one.",1
"constructor provided, compil provid one default. constructor defin class, compil creat default constructor.",class explicitli includ constructor.,1
"function prototyp includ function signature, i.e., name function, return type, paramet type. function definit includ actual bodi function.",function definit requir addit inform need pass insid parenthesi execute. definit prototyp requir one paramet pass order complet definit prototyp task.,0.8
"function prototyp includ function signature, i.e., name function, return type, paramet type. function definit includ actual bodi function.",function prototyp declaration. function definit multipl paramet often requir one piec inform perform function definit tasks.,0.6
"function prototyp includ function signature, i.e., name function, return type, paramet type. function definit includ actual bodi function.",prototyp declar use program definit,0.6
"function prototyp includ function signature, i.e., name function, return type, paramet type. function definit includ actual bodi function.","function definit implment includ function place curli bracket determin function operation. function prototyp show function public interfac without expos implementation. function prototyp includ name, return type type paramaters.",1
"function prototyp includ function signature, i.e., name function, return type, paramet type. function definit includ actual bodi function.","prototyp includ name, return type, input type. definit also defin scope, variables, process, return function",0.9
function argument pass refer avoid make copi larg data structur call function,overal program better perform mean program run faster program copi larg amount data.,1
function argument pass refer avoid make copi larg data structur call function,function argument pass refer elimit need copi larg amont data,1
function argument pass refer avoid make copi larg data structur call function,function chang data store variabl pass refer directly.,0.7
function argument pass refer avoid make copi larg data structur call function,"function argument larg size, comput time memori space wast copi argument pass argument function. also pass refer give function call permiss read edit argument directly.",1
code stage solut refin stage,refin solut,0.8
code stage solut refin stage,"elaboration, construction, transit",0.4
code stage solut refin stage,"directly, refin stage, code stage. refin stage right test stage code stage right test stage. indirectly, production, maintenance. refin stage occur last two stage softwar life cycle.",1
code stage solut refin stage,code stage refin stage,1
main function.,main function,1
main function.,main function,1
main function.,funcion main .,1
main function.,main function,1
main function.,main function.,1
locat memori store value.,"programming, structur hold data structur uniqu name programmer. variabl hold data assign variabl new valu assign program finished.",0.9
locat memori store value.,"variabl symbol name valu number. example, a_used_numb stand given number, programm refer number use variabl name.",0.8
locat memori store value.,locat memori valu store,1
locat memori store value.,locat memori valu stored.,1
locat memori store value.,locat memori data store retriev,1
unlimit number.,"limit number constructor class like functions, constructor overloaded.",1
unlimit number.,"c , constructor overload one constructor class, differ parameters.",1
unlimit number.,number want,1
unlimit number.,mani want,1
unlimit number.,depend number objects. object constructor.,0.5
unlimit number.,mani needed.,1
unlimit number.,mani want,1
unlimit number.,one,0
name function type parameters.,"function signatur includ name program, type paramet function take. function signatur also includ brief descript function does.",0.9
name function type parameters.,function signatur includ specif inform function input output variabl type mani each.,0.6
name function type parameters.,function signatur includ name function type function arguments.,1
name function type parameters.,function signatur includ function name paramet list. includ return type. function signatur must different.,1
name function type parameters.,"function name, input paramat",1
name function type parameters.,"name function type function arguments. includ number, type, order paramet appear in.",1
name function type parameters.,name function type function arguments.,1
name function type parameters.,name function type argument,1
name function type parameters.,"function signatur includ name function, type function arguments. function signatur specifi function return type. function scope must unqiu signatures.",1
file scope.,global variabl use function long appropri .h file hold variabl includ,0.8
file scope.,global variabl access part program. global variabl referenc function follow declar definit sourc file.,1
file scope.,file scope.,1
file scope.,scope global variabl file level.,1
file scope.,"variabl access anywher program, long public.",0.9
make copi function code everi place function call made.,inlin function expand function definit place. function call use function mani time need. compil expand function.,0.9
make copi function code everi place function call made.,place qualifi inlin function return type function definit advis compil gener copi function code place avoid function call.,1
make copi function code everi place function call made.,"inlin function replac instanc function call inlin code itself, result longer faster programs.",1
make copi function code everi place function call made.,"inlin functions, compil creat copi function code place compil make function call add function call stack.",1
make copi function code everi place function call made.,"tell compil make copi function code place avoid function call. compil typic ignor it, except smallest functions.",1
make copi function code everi place function call made.,compil ignor inlin qualifi,0.5
make copi function code everi place function call made.,"complier includ copi inlin function instead make function calls, usual small functions.",1
make copi function code everi place function call made.,"compil inlin expand function call, function code get insert caller code stream conceptu similar happen defin macro . inlin function can, depend zillion things, improv performance, optim procedur integr call code ������������������������������",0.9
"recurs step defin incorrectly, base case included.",omit base case incorrectli call recurs step.,1
"recurs step defin incorrectly, base case included.",recurs problem cannot reduc reach base case.,0.9
"recurs step defin incorrectly, base case included.","base case, incorrectli written recurs step converg base case lead infinit recursion.",1
"recurs step defin incorrectly, base case included.","either omit base case, write recurs step incorrectli recurs call converg base case",1
"involv repetition, termin tests, occur infinitely.","iter recurs mani similarities, base control statement, involv repetition, involv termin test, gradual approach termin occur infinitely.",1
simul behaviour portion desir softwar product.,"defin specif phase prototyp stimul behavior portion desir softwar product. meaning, role prototyp temporari solut program refin use extens problem solving.",1
simul behaviour portion desir softwar product.,provid exampl model finish program perfom.it provid forsight challang would encountered. provid opportun introduc chang finish program.,0.7
simul behaviour portion desir softwar product.,program stimul behavior portion desir softwar product.,1
simul behaviour portion desir softwar product.,prototyp program provid basic groundwork enhanc improv solut problem.,0.4
simul behaviour portion desir softwar product.,"prototyp program part specif phase softwar problem solvin. employ illustr key problem problem solv program, sometim serv base program expand upon.",0.9
"store class interface, includ data member member function prototypes.",hold reusabl content modul separ actual sourc code file easili referenc employ differ programs.,0.8
"store class interface, includ data member member function prototypes.",header file reusabl sourc code file program use.,0.5
"store class interface, includ data member member function prototypes.","header file declar class, data, function avail class.",0.8
"store class interface, includ data member member function prototypes.",promot function reusuablitli,0.6
"store class interface, includ data member member function prototypes.",contain standard c++ library' i.e. string,0.2
name function type parameters.,"function signatur includ name function type arguments, return type.",1
name function type parameters.,name function type argument,1
name function type parameters.,"function signatur includ function' return type, paramet semi colon.",0.6
name function type parameters.,portion function prototyp includ name function type argument,1
name function type parameters.,name function type argument,1
"base function signature. overload function called, compil find function whose signatur closest given function call.",uniqu function signatur,1
"base function signature. overload function called, compil find function whose signatur closest given function call.","name, differ parameters.",1
"base function signature. overload function called, compil find function whose signatur closest given function call.","differnti number, type order argument function call.",0.7
"base function signature. overload function called, compil find function whose signatur closest given function call.","signatur (return type, argument list)",1
"array declaration, use initi list.","one way declar size array use variabl equal integer. way, size omit declaration, compil determin size array base size initi list.",1
"array declaration, use initi list.",static dynam,1
"array declaration, use initi list.",manual insid bracket automat via initi list,0.5
"array declaration, use initi list.",string specifi strlen(arrayname) command. get length string. anoth way integ initi size start. pass object actual ammout array. anoth way declar initi program.,1
"array declaration, use initi list.","use arraylist, program ask array mani element has. object member length number slot has.",0.8
string declar use array charact null element ad end array.,"type string use less storag chang string once. array charact make permut word use charact store array, without need actual access chang variables. array charact chang they'r accessed.",0.6
string declar use array charact null element ad end array.,string repres charact array end null character. declar object type string like type,1
string declar use array charact null element ad end array.,"use array characters, one store manipul string rather type string variable.",0.5
string declar use array charact null element ad end array.,type string array char make array singl letter charact array string actual array word,0.4
string declar use array charact null element ad end array.,"array charact set length, type string virtual unlimit length.",0.8
string declar use array charact null element ad end array.,"cannot modifi individu charact type string array, charact type array modifi individu charact",0.5
reference.,refer pointer element array.,0.9
reference.,array pass reference. individu array element pass value. function take array arguments. function prototyp may includ paramet names. const array paramet,1
reference.,pass pointer first item also pass size.,0.7
reference.,specifi array name without brackets. array size normal pass anoth argument function process specif number element array. array pass reference. individu array element pass value. function take array arguments.,1
reference.,call function function must loop array get set characters.,0.4
reference.,specifi array name pass refer argument function,1
reference.,first must specifi array name without bracket array name size pass two argument function call.,1
reference.,refer,1
"array declar static live throughout life program. initi once, function declar array first called.",static array referenc accessed. also static array use without creat object.,0.8
"array declar static live throughout life program. initi once, function declar array first called.","static array initil once, non static array initil program reach initil line again.",1
"array declar static live throughout life program. initi once, function declar array first called.","declar static array destroy function over. array declar static, array creat initi everi time function call it.",1
"array declar static live throughout life program. initi once, function declar array first called.",array declar static declar,0.7
"array declar static live throughout life program. initi once, function declar array first called.","declar fix static mean can't chang size storag allocated, howev one dynam arrari resized.",0.6
"dimensions, except first one.","least two, depend mani array used.",0.5
"dimensions, except first one.","two paramaters, array mani columns.",0.8
"dimensions, except first one.",,0.5
"dimensions, except first one.","pass (in main) multidimension array function, dimens need specifi",0.4
"dimensions, except first one.","dimens except first one need specifi pass array function, compil need know mani memori address skip make back second element first dimension. size first dimens need specified.",1
"dimensions, except first one.","dimensions, exclud first one.",1
"dimensions, except first one.",two,0.5
run time error.,gener compil error. compil complain variabl refer never declared.,0.2
row,"usual row follow column, programm determin valu store bi dimension arrays.",0.5
row,store memori rows.,1
row,column.,0.2
row,row column,1
"take one array element time, left right, insert right posit among alreadi sort element left.",sort element array remov element input data insert correct position.,1
"take one array element time, left right, insert right posit among alreadi sort element left.",take number choos pivot point insert number correct posit pivot point.,0.6
"take one array element time, left right, insert right posit among alreadi sort element left.","goe list once, pick integ put desir position, continuing.",0.8
"take one array element time, left right, insert right posit among alreadi sort element left.","insert sort take entit unsort array order, sort correct posit entiti sorted.",1
"take one array element time, left right, insert right posit among alreadi sort element left.","take second element swap 1st less keep larger, goe third element insert right place respect first two element on.",1
"take one array element time, left right, insert right posit among alreadi sort element left.","one one, item taken place correct place sort portion array item",0.9
"take one array element time, left right, identifi minimum remain element swap current element.","select sort find minimum valu list, swap first valu list, repeat throughout list.",0.9
"take one array element time, left right, identifi minimum remain element swap current element.","select sort find smallest number left unsort array, put end sort",1
n (the length array) oper achiev sort array.,best case look list once. best case scenario goe list make chang (the list alreadi sorted),0.8
n (the length array) oper achiev sort array.,best case scenario insert sort list alreadi sorted. number oper would number element,1
size array sort one (or two),base case recurs implement merg sort one.,1
size array sort one (or two),one element subarray.,1
variabl contain address memori anoth variable.,pointer variabl contain memori address value.,1
variabl contain address memori anoth variable.,"like variabl howev instead hold data, hold locat memory.",0.9
variabl contain address memori anoth variable.,refer call place memori object stored.,0.8
variabl contain address memori anoth variable.,"pointer variabl contain number memori address value, may null zero, address valu store memory.",1
variabl contain address memori anoth variable.,type point someth else. memori address someth els,0.9
memori address operand.,address oper return memori address operand.,1
memori address operand.,return address locat memori item.,0.9
memori address operand.,"memori address operand, 0x000000 someth along lines.",0.9
memori address operand.,memori address operand,1
alia (synonym) name object operand point memory. dereferenc operator.,return synonym object pointer operand points.,1
alia (synonym) name object operand point memory. dereferenc operator.,"return synonym, alia nicknam name object operand point memori (dereferenc pointer).",1
alia (synonym) name object operand point memory. dereferenc operator.,unari oper return valu variabl locat address,0.8
alia (synonym) name object operand point memory. dereferenc operator.,synonym object pointer operand point,1
"first, pointer variabl must refer first entiti array. variabl array access refer first entity' address plu offset.",array address pointer/offset notat set pointer variabl equal variabl name array. element array access ad offset valu pointer variable.,0.9
"first, pointer variabl must refer first entiti array. variabl array access refer first entity' address plu offset.","pointer array initi point first element array. pointer incremented, point next element, on.",0.7
"first, pointer variabl must refer first entiti array. variabl array access refer first entity' address plu offset.",multi dimension array,0.2
size byte operand.,"return size operand memory, check compil time.",0.9
size byte operand.,return size byte certain variabl type,0.9
"four ways: nonconst pointer constant data, nonconst pointer nonconst data, constant pointer constant data, constant pointer nonconst data.",pass valu refer,0.5
"four ways: nonconst pointer constant data, nonconst pointer nonconst data, constant pointer constant data, constant pointer nonconst data.",pass valu pass reference.,0.5
"four ways: nonconst pointer constant data, nonconst pointer nonconst data, constant pointer constant data, constant pointer nonconst data.",pass valu pass refer refer pointer arguments.,0.5
"four ways: nonconst pointer constant data, nonconst pointer nonconst data, constant pointer constant data, constant pointer nonconst data.",nonconst pointer nonconst data. delcar includ const qualifier. nonconst pointer constant data. provid perform pass refer protect pass value. constant pointer nonconst data. constant pointer constant date.,0.4
address locat memori function code resides.,function pointer pointers. variabl point address function.,1
address locat memori function code resides.,"pointer function address code function resides. pass functions, return functions, store array assign pointers.",1
address locat memori function code resides.,contain address function memory.,1
address locat memori function code resides.,point memori address function. kind like break branch tree object hit object it.,1
address locat memori function code resides.,"function pointer contain memori address function. use function pointer, function pass return anoth function. function pointer also store arrays.",1
address locat memori function code resides.,pointer contain address function memory.,1
address locat memori function code resides.,contain address function memori,1
collect element alloc dynamically.,link list list item list point next item list.,0.9
collect element alloc dynamically.,list item link together. item link successor.,0.9
collect element alloc dynamically.,"data structur sequenc nodes, contain arbitrari data field one two refer (""links"") point next and/or previou nodes.",0.9
collect element alloc dynamically.,"link list data structur necessarili contigu memori space (such arrays). hold data type point next data item list, doubli link list also previou item.",1
collect element alloc dynamically.,data type contain pointer least next element list.,0.9
collect element alloc dynamically.,"link list chain struct record call nodes. node least two members, one point next item node list.",0.9
collect element alloc dynamically.,seri structur contain data item pointer link structur next structure.,0.9
link list variabl length.,array must defin size . element ad link list w/o defin size.,1
link list variabl length.,"princip benefit link list convent array order link item may differ order data item store memori disk, allow list item travers differ order. link list self referenti datatyp contain pointer link anoth datum type. link list permit insert remov node point list constant time",0.8
link list variabl length.,link list grow shrink need to. array fix size.,1
link list variabl length.,link list abe grow need new size.,1
link list variabl length.,"size fixed, easier sort shifting, easier insert item list",1
"element array access directli (a oppos link lists, requir iter traversal).",link list increas complex implementation. link list array keep grow lead increas memory.,0.5
reference.,function access link list' head pointer access entir list. pass head ponter function refer argument.,1
reference.,head pointer pass function refer argument.,1
reference.,pass head pointer function refer argument,1
last element circular link list point head list.,circular link list link list link item continu circle. allow full list travers start item list; fix head tail required.,0.9
last element circular link list point head list.,"circular link list, last node point first node.",1
last element circular link list point head list.,basic link list end null valu circular link list pointer end begin,1
last element circular link list point head list.,"differ circular link list basic link list circular link list, last node refer first node. everi node circular link list successor node circular link list contain null.",1
last element circular link list point head list.,node circular link list contain null.,0.7
last element circular link list point head list.,"circular link list, last node contain pointer goe back first node; basic link list, last node contain null pointer.",1
"delet insert oper perform constant time, includ oper perform given locat list end list.",travers direct,0.7
"delet insert oper perform constant time, includ oper perform given locat list end list.",doubli link list delet node without travers list.,0.9
"delet insert oper perform constant time, includ oper perform given locat list end list.",travers list reverse.,0.7
"delet insert oper perform constant time, includ oper perform given locat list end list.",doubli link list allow backward movement nodes.,0.7
"delet insert oper perform constant time, includ oper perform given locat list end list.",doubli link list pointer directions. allow access back front well front back,0.8
"delet insert oper perform constant time, includ oper perform given locat list end list.","given node list, one navig easili either direct",0.8
"delet insert oper perform constant time, includ oper perform given locat list end list.","primari disadvantag doubli link list that: node requir extra pointer, requir space, insert delet node take bit longer (more pointer operations).",0.4
extra space requir store back pointers.,need memori store "previous" pointers.,1
extra space requir store back pointers.,node doubli link list take memori node singli link list.,1
extra space requir store back pointers.,"doubli link list twice mani pointer element , therefor memori use",1
extra space requir store back pointers.,take twice storag needed.,1
"data structur store elements, properti last item ad first remov (or last first out)",data structur store item access last first order implement three ways.,1
"data structur store elements, properti last item ad first remov (or last first out)",stack abstract data type base principl last element insert stack first element remov stack.,1
"data structur store elements, properti last item ad first remov (or last first out)","stack similar array, allow random access. stack allow user retriev last item put stack. last in, fist out.",1
"data structur store elements, properti last item ad first remov (or last first out)",list ad remov top.,1
"data structur store elements, properti last item ad first remov (or last first out)","stack abstract data type oper last first basi store list objects, support ( least pure stack) peek element without remov rest stack first.",1
"data structur store elements, properti last item ad first remov (or last first out)",store set element particular order. base principl last first (lifo).,1
"data structur store elements, properti last item ad first remov (or last first out)","object list store element particular order, first object insert bottom last object top first object last object out.",1
"data structur store elements, properti last item ad first remov (or last first out)",collect data execut order last first,1
"data structur store elements, properti last item ad first remov (or last first out)","stack data structur allow data member ad remov one time, order. ""last first out"" structure.",1
push pop,push pop.,1
push pop,push (insert item). pop (remov item),1
push pop,pop push,1
push pop,push (add element). pop (remov element),1
push pop,"push pop, push put object list, pop take last object off.",1
push pop,"push pop, add remov data stack, respectively.",1
push pop,push add item top stack. pop remov top item stack,1
"keep top stack toward end array, push pop oper add remov element right side array.",array fix size. add delet element end array use pointer keep track last element added. time add delet element updat pointer check equal max size array.,1
"keep top stack toward end array, push pop oper add remov element right side array.",creat int valu store "head" stack. increment top one element push decrement popped.,1
"keep top stack toward end array, push pop oper add remov element right side array.","alloc array size. bottom stack element store element. last index array top. increment top one element pushed, decrement pop.",0.9
"keep top stack toward end array, push pop oper add remov element right side array.","alloc pre defin array, bottom element store element 0, last index head.",0.8
"keep top stack toward end array, push pop oper add remov element right side array.","effici easiest implement left right method, right item one retriev pop performed, push place object furthest element.",0.7
"keep top stack toward end array, push pop oper add remov element right side array.","element ad array, last element ad end, element pop take last element array",0.8
"keep top stack point head link list, push pop oper add remov element begin list.",implement stack use singl link list. oper perform stack push(): function insertion(pushing)of element stack. similar insert element end singl link list. see function insert_end() program oper singl link list. pop(): function deletion(pop up) element stack. similar delet element end singl link list. see function delete_end() program oper singl link list. stack_display():thi function display element stack,0.8
"keep top stack point head link list, push pop oper add remov element begin list.",use node keep track head stack. use push( ) pop ( ) creat stack needed.,0.8
"keep top stack point head link list, push pop oper add remov element begin list.","declar pointer point head link list, add remov node begin list.",1
"keep top stack point head link list, push pop oper add remov element begin list.",use add function list begin stack remov pop,0.9
"keep top stack point head link list, push pop oper add remov element begin list.",element insert remov head list. header node current pointer.,0.9
"keep top stack point head link list, push pop oper add remov element begin list.",use pointer,0.3
"keep top stack point head link list, push pop oper add remov element begin list.",top first pointer.,0.6
"link based, dynam (no size constraints)",,0.5
"link based, dynam (no size constraints)",list base use fix size like array would.,1
"link based, dynam (no size constraints)",list size determin,0.6
"link based, dynam (no size constraints)",link list prefer make push element easier limit memori number element,0.7
"first, convert postfix form, follow evalu postfix expression.",infix express interpret postfix express implement stacks.,1
"first, convert postfix form, follow evalu postfix expression.",infix express convert postfix form.,1
"first, convert postfix form, follow evalu postfix expression.",comput convert infix express postfix form. evalu postfix expression.,1
"first, convert postfix form, follow evalu postfix expression.",infix express convert postfix,1
"first, convert postfix form, follow evalu postfix expression.","write arithmet express call infix notation. binari oper (like '+') written two operand (a ""a + b""). two altern form notat use certain situations. one prefix notation, oper written operands. prefix notation, sum b written ""+ b"". notat use write function call mathemat comput science. also use lisp scheme program languages. postfix notation, oper written operands. sum b written ""a b +"". (you may seen ""revers polish notation"".) postfix notat form conceptu basi way arithmet express evalu computer. one import characterist postfix prefix notat unambiguous; parenthes need indic order operations.",1
"pop element store anoth stack element found, push back element origin stack.",basic pop stack find given element.,0.7
"pop element store anoth stack element found, push back element origin stack.","depend type stack, true stack haft pop element stack find element want, need push element remov back stack order remov . java style stack, peek function, return element want instead requir perform excess action requir true stack.",1
"pop element store anoth stack element found, push back element origin stack.",top item != given element. pop stack repeat item found stack empti,0.7
"pop element store anoth stack element found, push back element origin stack.",would travers stack pop element search,0.7
"pop element store anoth stack element found, push back element origin stack.",function keep track element pop function put. pop element backinto function.,0.9
"pop element store anoth stack element found, push back element origin stack.",would need perform search list element (i dont realli understand question ask clear?),0.3
"data structur store elements, properti last item ad last remov (or first first out).",queue list object particular order read one time start first follow second on.,0.8
"data structur store elements, properti last item ad last remov (or first first out).",queue data structur store element first first order.,1
"data structur store elements, properti last item ad last remov (or first first out).",wait list item oper fifo (first first out) order.,1
"data structur store elements, properti last item ad last remov (or first first out).","first in, first abstract data type use store values.",1
"data structur store elements, properti last item ad last remov (or first first out).",object store element order follow first first out. first element ad first one come off.,1
"data structur store elements, properti last item ad last remov (or first first out).","queue ""first first out"" data structure, first element ad also first removed.",1
"data structur store elements, properti last item ad last remov (or first first out).","queue buffer, store element particular order",0.7
enqueu dequeu,enqueu add data queue dequeu delet data queue,1
enqueu dequeu,enqueu dequeu,1
"keep rear queue point tail link list, enqueu oper done end list, keep front queue point head link list, dequeu oper done begin list.",make head list begin queue last list item insert point queue,0.9
"keep rear queue point tail link list, enqueu oper done end list, keep front queue point head link list, dequeu oper done begin list.",throw data head take tail,0.9
"keep rear queue point tail link list, enqueu oper done end list, keep front queue point head link list, dequeu oper done begin list.",link list check front rear. keep enqueu element front equal rear 1.,0.7
"keep rear queue point tail link list, enqueu oper done end list, keep front queue point head link list, dequeu oper done begin list.",would list add back pointer program know end,0.8
"link based, dynam (no size constraints)",link list based. store item linearli memori instead individu blocks.,1
"link based, dynam (no size constraints)",list base prefer size restrictions.,1
"link based, dynam (no size constraints)",list size defin,1
"link based, dynam (no size constraints)","queue' best lists, especi tail kept track of, list dynam grown without lose track head tail.",1
"link based, dynam (no size constraints)","list, dynam size need declar",1
push,sure question means. use stack 'push' oper enqueu oper detect palindromes.,1
push,push operation.,1
queue,queue appropri schedul print job queue first first behavior.,1
queue,"queue, better fifo lifo(stack).",1
queue,"queue, person want print first first served.",1
queue,queue guarante job execut order come in.,1
queue,queue,1
"collect nodes, special node call root, rest node partit one disjoint sets, set tree.","infinit set node root descendants, addit leaf.",0.7
"collect nodes, special node call root, rest node partit one disjoint sets, set tree.",tree data structur node link hierarch manner.,0.7
"collect nodes, special node call root, rest node partit one disjoint sets, set tree.",finit set node start root termin leaves.,0.8
length longest path root leaves.,height = number time must progress level tree reach leaf greatest distanc root.,1
length longest path root leaves.,number gener level tree,0.9
length longest path root leaves.,connect element call branches. tree often call invert tree normal drawn root top.,0.3
node children.,leaf child parent node children node own.,1
node children.,end point tree. node children.,1
node children.,node children.,1
node children.,leaf node children,1
node children.,leaf node children.,1
node children.,node children.,1
tree maximum number children per node two.,"tree data structur done two children, typic call left right nodes. right node usual greater left node parent node.",0.9
tree maximum number children per node two.,"binari tree set node either empti partit root node one two subset binari subtre root. node two children, right left child.",1
tree maximum number children per node two.,"set zero nodes, partit root node two possibl empti set binari trees. thus, node binari tree two children, left child right child.",1
tree maximum number children per node two.,tree node 2 children.,1
tree maximum number children per node two.,tree element contain two pointer,1
tree maximum number children per node two.,"binari tree special search tree node either two, one, zero children",0.9
binari tree properti node left child smaller parent turn smaller right child.,"tree data structur node value, total order defin values. left subtre contain valu less parent node, vice versa right subtree.",1
binari tree properti node left child smaller parent turn smaller right child.,binari search tree binari tree valu node 'n' greater valu everi node n' left subtre less everi node n' right subtree.,1
binari tree properti node left child smaller parent turn smaller right child.,"binari tree valu node n greater valu everi node n' left subtree, less valu everi node n' right subtree.",1
binari tree properti node left child smaller parent turn smaller right child.,tree set easili search number base locat compar previou nodes.,0.7
"travers left subtree, root, right subtree.",(left side tree) (root) (right side tree),1
"travers left subtree, root, right subtree.",print tree order least greatest. done go far left tree possibl print parent right tree. move tree.,1
"travers left subtree, root, right subtree.",postord,0.3
"travers left subtree, root, right subtree.","inord travers visit left branch node (all way deepest left leaf) visit node itself. visit entir left branch node, visit node' right branch follow pattern left child, node, right child.",1
height tree (or log number element tree).,nlog(n),0.4
height tree (or log number element tree).,logn,1
function member data members.,"element typic includ class definit function prototypes, usual declar public, data member use class, usual declar private.",1
function member data members.,return type input paramet,0.5
function member data members.,variabl function prototypes.,0.8
function member data members.,"paramet type, class name, return type, code execut class.",0.6
function member data members.,member function data member,1
privat public.,public. private. protect,1
privat public.,access specifi use c++ class definit privat public.,1
privat public.,"static, long, unsign",0.1
use constructors.,class call constructor,0.7
use constructors.,object assign space memori created. name given object point memori address object data resides.,0.2
use constructors.,give valu,0.3
function call itself.,function call upon self solv problem. time call upon self split problem simplier form reach 'base case' simplest form problem.,1
function call itself.,function call perform opper factori recurs function.,1
function call itself.,"function call till base case reached, return back origin function.",1
function call itself.,function call itself. usual use split problem sever smaller problem type.,1
function call itself.,function call self till base case met,1
iteration.,altern method use loop program instead function call itself.,0.8
iteration.,iter,1
iteration.,recurs function solv use iter method.,1
iteration.,iter,1
iteration.,"use iter solution. for, while, loop.",1
static array intial function called.,static array specif size cannot grow. also static array cannot access outsid program creat it.,0.6
static array intial function called.,array declar static remain throughout execut program.,0.5
static array intial function called.,"static array avail whole program, wherea array static avail within scope declar pass reference.",0.8
static array intial function called.,static array predetermin size size cannot alter,0.6
static array intial function called.,"array declar static retain valu store element function calls, reiniti default values.",0.9
static array intial function called.,array declar static caus anyth initi set 0.,0.5
static array intial function called.,array static chang uniniti call later unless explicitli act upon. termin chang across objects. automat local array clear uniniti call later outsid specif scope.,1
